                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0786,                0.50044,                0.89054,                0.87847,                0.90469,                0.92448,                 0.5393,                    nan,                    nan,                    nan,             0.00055303,             0.00055303,             0.00055303
                      2,                 1.0666,                0.50158,                0.88613,                 0.8996,                0.90117,                0.93776,                0.54673,                    nan,                    nan,                    nan,              0.0010355,              0.0010355,              0.0010355
                      3,                 1.0666,                0.50314,                0.88711,                0.89877,                 0.8844,                0.93284,                0.54718,                    nan,                    nan,                    nan,              0.0014447,              0.0014447,              0.0014447
                      4,                 1.0726,                0.50813,                0.88998,                0.89929,                0.88963,                0.93365,                0.55569,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.0623,                0.50482,                0.88577,                0.89969,                0.90244,                 0.9365,                0.55415,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.0441,                0.49017,                 0.8928,                0.88464,                0.89508,                0.92533,                 0.5398,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
                      7,                 1.0229,                0.47662,                 0.8903,                 0.9227,                0.89313,                0.94624,                0.57356,                    nan,                    nan,                    nan,              0.0011169,              0.0011169,              0.0011169
                      8,                 1.0056,                0.47023,                0.88317,                0.91939,                0.90684,                0.93827,                0.56217,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                      9,                0.99324,                0.46388,                0.87977,                0.93359,                0.89785,                 0.9472,                0.57419,                    nan,                    nan,                    nan,             0.00089685,             0.00089685,             0.00089685
                     10,                 0.9753,                0.45393,                0.87802,                0.94057,                0.90122,                0.94543,                0.58015,                    nan,                    nan,                    nan,             0.00078682,             0.00078682,             0.00078682
                     11,                0.95885,                 0.4462,                0.87358,                0.92013,                0.90624,                0.94218,                   0.59,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     12,                0.94557,                0.43821,                0.87214,                0.94325,                0.91177,                0.95759,                0.60685,                    nan,                    nan,                    nan,             0.00056678,             0.00056678,             0.00056678
                     13,                0.92728,                0.42873,                0.86654,                0.94906,                0.90372,                0.95185,                0.60743,                    nan,                    nan,                    nan,             0.00045676,             0.00045676,             0.00045676
                     14,                0.90763,                0.42208,                0.86512,                0.93826,                0.91913,                0.95496,                0.61365,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     15,                0.88884,                 0.4137,                0.86065,                0.94692,                0.91067,                0.95407,                0.61123,                    nan,                    nan,                    nan,             0.00023671,             0.00023671,             0.00023671
